name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;873;0;897;3135;1555;3135;1367;0
header;87;158;87;193;1720;193;1720;158
A;898;221;898;249;919;249;919;221
A;1265;482;1265;484;1267;484;1267;482
B;901;899;901;925;922;925;922;899
C;904;1570;904;1597;924;1597;924;1570
B;1187;1660;1187;1679;1201;1679;1201;1660
A;915;1744;915;1745;915;1745;915;1744
D;909;2241;909;2267;928;2267;928;2241
C;1291;2352;1291;2372;1306;2372;1306;2352
C;1378;2398;1378;2417;1392;2417;1392;2398
A;1237;2400;1237;2404;1241;2404;1241;2400
B;1264;2400;1264;2416;1273;2416;1273;2400
A;1056;2402;1056;2417;1064;2417;1064;2402
C;1136;2444;1136;2463;1151;2463;1151;2444
B;944;2492;944;2510;958;2510;958;2492
B;1504;2581;1504;2599;1519;2599;1519;2581
B;1390;2629;1390;2648;1404;2648;1404;2629
B;1102;2676;1102;2694;1116;2694;1116;2676
