name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;962;0;591;3145;962;3145;1042;0
header;75;159;75;193;1717;193;1717;159
B;894;895;894;922;915;922;915;895
A;843;1031;843;1032;846;1032;846;1031
A;907;1072;907;1073;907;1073;907;1072
A;852;1243;852;1260;868;1260;868;1243
A;819;1291;819;1299;827;1299;827;1291
A;865;1291;865;1301;873;1301;873;1291
A;974;1293;974;1300;981;1300;981;1293
A;783;1522;783;1530;791;1530;791;1522
A;866;1522;866;1530;874;1530;874;1522
A;929;1522;929;1531;936;1531;936;1522
A;975;1523;975;1530;982;1530;982;1523
C;890;1567;890;1596;911;1596;911;1567
A;788;1576;788;1577;788;1577;788;1576
D;894;2234;894;2260;915;2260;915;2234
A;976;2384;976;2393;984;2393;984;2384
A;930;2386;930;2392;937;2392;937;2386
A;788;2391;788;2398;794;2398;794;2391
A;705;2393;705;2400;711;2400;711;2393
A;870;2393;870;2398;876;2398;876;2393
